Reward: [0, 60, 62, 53, 65, 46, 57, 68, 66, 69, 74, 83, 30, 46, 64, 64, 18, 22, 60, 28, 58, 72, 83, 78, 62, 35, 2, 54, 67, 71, 82, 82, 78, 49, 42, 65, 93, 92, 76, 51, 87, 84, 56, 62, 84, 71, 28, 10, 52, 69, 57, 54, 1, 19, 74, 95, 97, 78, 28, 56, 61, 69, 41, 19, 22, 56, 53, 48, 45, 56, 66, 75, 60, 81, 89, 93, 63, 97, 79, 93, 17, 6, 62, 44, 12, 6, 53, 76, 84, 70, 65, 52, 63, 55, 72, 84, 96, 29, 79, 74]
Sensing Errors: [0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]
Packet Errors: [0, 4, 8, 10, 0, 0, 13, 20, 11, 0, 5, 0, 0, 5, 3, 1, 1, 1, 0, 5, 0, 1, 0, 2, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1, 8, 1, 0, 0, 2, 6, 0, 0, 3, 0, 0, 0, 3, 3, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 2, 1, 5, 1, 0, 1, 1, 0, 5, 14, 7, 6, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 2, 4, 2, 2, 2, 0, 3, 3, 0, 0, 2, 0, 2, 0, 0, 0, 0]
Time diff: [16693889.015608398, 1669388902.3404446, 1669388903.433222, 1669388904.4237833, 1669388905.3975604, 1669388906.2985907, 1669388907.2368808, 1669388908.1586938, 1669388909.0402894, 1669388909.9170933, 1669388910.7939079, 1669388911.6397212, 1669388912.522147, 1669388913.4497254, 1669388914.345415, 1669388915.2437098, 1669388916.125973, 1669388917.0192258, 1669388917.9125657, 1669388918.8464527, 1669388919.7929914, 1669388920.719476, 1669388921.6073096, 1669388922.5234008, 1669388923.4185555, 1669388924.3243213, 1669388925.251928, 1669388926.1692753, 1669388927.0374615, 1669388927.9307568, 1669388928.8040223, 1669388929.661001, 1669388930.5493634, 1669388931.4357758, 1669388932.3380694, 1669388933.2321768, 1669388934.119518, 1669388934.9913294, 1669388935.8650296, 1669388936.7721243, 1669388937.6779058, 1669388938.6329956, 1669388939.5736651, 1669388940.5195098, 1669388941.4324121, 1669388942.3270469, 1669388943.278097, 1669388944.1964915, 1669388945.122421, 1669388946.0182605, 1669388946.9007876, 1669388947.7850606, 1669388948.7016327, 1669388949.6411114, 1669388950.5167205, 1669388951.3966236, 1669388952.273866, 1669388953.145744, 1669388954.055225, 1669388954.9687207, 1669388956.0720484, 1669388957.0567148, 1669388957.924022, 1669388958.8126864, 1669388959.7342696, 1669388960.675994, 1669388961.6395075, 1669388962.8319516, 1669388963.8661785, 1669388965.0023403, 1669388965.9667969, 1669388966.8806612, 1669388967.8089461, 1669388968.775613, 1669388969.711198, 1669388970.6300576, 1669388971.5862124, 1669388972.4853218, 1669388973.3757193, 1669388974.2938757, 1669388975.2635567, 1669388976.2682078, 1669388977.2655973, 1669388978.2936213, 1669388979.3152356, 1669388980.361386, 1669388981.425087, 1669388982.4487445, 1669388983.4638376, 1669388984.4704146, 1669388985.7694504, 1669388986.9475684, 1669388988.2889054, 1669388989.371518, 1669388990.5627112, 1669388991.7166648, 1669388992.8179147, 1669388993.8581393, 1669388994.9241617, 1669388996.039843]

Reward: [0, 64, 69, 71, 72, 86, 73, 81, 81, 83, 82, 72, 83, 81, 86, 85, 83, 91, 89, 91, 87, 84, 91, 75, 93, 91, 98, 92, 93, 95, 90, 77, 93, 83, 94, 91, 100, 98, 96, 97, 94, 95, 94, 93, 73, 82, 80, 86, 83, 83, 87, 82, 68, 84, 79, 86, 92, 90, 95, 75, 67, 77, 98, 97, 93, 98, 96, 86, 83, 82, 85, 93, 81, 82, 98, 99, 94, 92, 100, 100, 100, 99, 97, 99, 97, 90, 95, 93, 99, 99, 94, 96, 98, 99, 98, 93, 98, 82, 97, 100]
Sensing Errors: [0, 99, 99, 98, 100, 100, 96, 99, 99, 100, 100, 99, 100, 100, 99, 99, 100, 100, 100, 100, 100, 100, 100, 100, 99, 99, 100, 99, 100, 100, 100, 99, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 93, 100, 100, 100, 100, 85, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]
Packet Errors: [0, 4, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0]
Time diff: [16693899.997454816, 1669390000.333322, 1669390001.3690882, 1669390002.329552, 1669390003.2594213, 1669390004.2624576, 1669390005.2484915, 1669390006.1951303, 1669390007.079952, 1669390008.0739205, 1669390009.0147583, 1669390009.9017599, 1669390010.8660543, 1669390011.8086762, 1669390012.9045641, 1669390013.9008007, 1669390015.002924, 1669390016.0581818, 1669390016.9593298, 1669390017.8599656, 1669390018.7416935, 1669390019.6565096, 1669390020.6069736, 1669390021.552804, 1669390022.518604, 1669390023.552429, 1669390024.5397701, 1669390025.4566019, 1669390026.4070578, 1669390027.2773528, 1669390028.2054586, 1669390029.20494, 1669390030.1210752, 1669390030.98396, 1669390031.9994156, 1669390033.0090878, 1669390033.9800665, 1669390034.8470745, 1669390035.763819, 1669390036.6891303, 1669390037.5758517, 1669390038.5179803, 1669390039.4502707, 1669390040.3454375, 1669390041.1975524, 1669390042.1278036, 1669390043.0595803, 1669390043.9567533, 1669390044.8153706, 1669390045.7421322, 1669390046.7196429, 1669390047.6347399, 1669390048.5628655, 1669390049.4592676, 1669390050.3816242, 1669390051.2681937, 1669390052.1877952, 1669390053.0493789, 1669390053.9100997, 1669390054.806926, 1669390055.755101, 1669390056.6257048, 1669390057.520096, 1669390058.4001682, 1669390059.247077, 1669390060.1133845, 1669390061.1219919, 1669390062.140979, 1669390063.0671482, 1669390064.0365102, 1669390064.9571862, 1669390065.8890533, 1669390066.7338657, 1669390067.6387148, 1669390068.5508714, 1669390069.4714093, 1669390070.3619404, 1669390071.342808, 1669390072.2798676, 1669390073.1857822, 1669390074.0358949, 1669390074.9152632, 1669390075.8454227, 1669390076.7384913, 1669390077.5500562, 1669390078.4862213, 1669390079.4148898, 1669390080.3560195, 1669390081.2870963, 1669390082.1505735, 1669390082.9934452, 1669390083.9070067, 1669390084.8405256, 1669390085.7667098, 1669390086.7289782, 1669390087.7749648, 1669390088.7688286, 1669390089.7343295, 1669390090.7420685, 1669390091.6666994]

